timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
525126,311,50139,143,236,111,266,140,101,256,173,62,83,278,79,32,212,44,115
525154,313,50175,144,239,111,270,141,101,260,170,65,85,282,79,33,214,44,115
525182,314,50047,141,244,113,273,145,103,263,175,65,82,283,81,32,216,46,117
525210,313,50064,147,250,115,273,150,102,261,179,65,80,284,82,31,219,47,120
525239,312,50282,148,263,114,284,155,102,258,184,70,78,290,83,28,224,49,121
525267,310,50370,155,279,113,291,163,97,256,190,72,69,290,83,31,234,49,129
525295,312,50377,162,296,117,302,171,94,254,203,79,64,303,90,31,245,49,136
525323,313,50755,175,310,121,304,185,96,257,218,82,56,288,95,28,253,54,148
525351,313,50373,199,335,126,294,196,91,238,224,102,47,288,98,28,262,54,151
525379,306,51145,261,350,157,277,250,98,225,274,140,47,283,121,27,286,67,188
525407,294,51259,364,348,209,261,322,113,203,322,188,51,263,149,33,293,86,223
525435,284,50840,429,320,285,248,414,138,188,337,252,70,245,172,43,290,106,250
525463,276,53450,463,304,367,236,489,176,172,333,330,90,224,190,58,277,129,257
525491,270,56541,474,287,465,217,534,221,159,304,433,131,205,196,79,272,155,258
525520,267,57679,421,267,567,200,533,273,148,270,538,189,187,192,104,262,178,253
525547,271,60537,373,256,648,184,492,341,137,225,650,267,166,176,139,255,189,249
525576,282,60130,342,247,660,166,437,417,130,193,682,354,158,158,175,251,191,255
525604,295,57062,317,239,657,152,376,513,127,174,598,442,147,150,196,256,181,263
525632,300,54705,293,221,623,135,338,587,121,159,477,516,126,137,211,249,176,279
525660,303,49961,260,197,589,123,315,608,118,144,427,615,108,133,207,227,173,294
525688,301,52122,238,173,567,106,284,604,115,127,414,751,89,124,196,193,172,291
525716,300,51582,212,150,539,92,248,563,112,114,373,796,76,117,186,160,173,261
525744,295,51545,194,135,498,85,222,516,108,97,326,743,65,102,180,128,174,220
525772,287,51425,176,115,456,79,195,472,106,88,270,619,52,89,169,102,158,183
525800,274,50670,160,104,366,72,156,399,101,75,209,487,36,73,140,76,129,140
525828,260,53977,147,96,328,72,135,372,104,71,189,441,38,57,127,69,107,110
525856,255,56201,140,98,278,79,123,331,100,69,169,389,39,54,112,70,85,93
525885,265,60598,121,92,227,88,106,280,103,67,143,334,48,52,93,79,75,85
525913,278,59948,117,100,182,100,97,235,108,69,106,275,65,49,82,93,63,79
525941,287,57336,113,118,155,117,95,196,113,74,92,218,101,52,68,123,55,80
525969,293,51484,116,139,137,140,98,161,117,80,83,165,131,57,58,165,53,95
525997,298,50216,130,192,129,170,108,135,121,100,80,119,156,65,47,220,53,119
526025,305,51395,152,252,125,188,128,115,123,118,85,83,164,72,39,265,58,155
526053,305,51846,196,314,128,194,149,103,127,137,97,60,174,87,38,314,68,213
526081,297,52915,274,368,155,186,186,108,125,153,136,58,169,109,39,330,91,284
526109,282,53788,394,371,203,173,225,122,121,155,164,69,165,125,45,330,115,350
