timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
171970,278,47679,105,219,89,200,128,76,228,160,49,43,355,73,19,189,34,80
171998,279,47687,104,219,86,198,125,74,228,162,48,42,357,71,20,188,36,80
172026,279,47709,107,226,88,201,131,75,230,163,52,40,358,73,24,196,34,81
172054,279,47528,104,226,90,195,130,74,222,162,50,37,348,75,20,187,35,83
172082,277,47465,108,242,92,202,139,75,219,170,56,35,355,77,21,197,37,85
172110,277,47290,113,258,92,204,147,75,219,179,59,36,363,78,20,205,36,90
172138,276,47948,122,294,98,207,155,74,214,189,66,33,351,84,21,216,39,94
172167,272,49593,122,293,103,205,166,75,213,208,77,34,343,90,22,227,42,100
172195,265,52676,140,316,124,205,188,83,208,226,99,31,340,102,24,246,47,115
172223,256,54359,151,319,144,201,212,88,203,249,130,34,325,124,24,256,60,131
172251,251,57278,168,294,177,201,247,101,187,265,159,38,295,144,30,258,70,145
172279,247,58055,204,281,237,195,286,117,175,266,217,51,259,168,37,257,90,162
172307,243,58979,220,260,322,193,310,148,161,256,284,76,229,194,48,252,110,170
172335,239,60320,224,244,418,188,328,188,145,235,349,107,212,205,71,248,132,174
172363,237,60763,232,235,476,180,326,233,137,209,424,157,181,201,94,242,154,173
172391,240,61267,237,218,513,171,315,286,131,190,449,227,172,187,128,240,169,181
172419,250,60514,234,210,534,157,303,343,121,178,425,320,164,165,166,240,167,190
172447,256,59822,224,191,527,143,297,397,119,169,375,387,142,149,192,234,164,202
172476,263,58695,200,172,474,123,285,407,111,150,345,446,110,137,199,195,152,208
172504,269,58262,184,153,443,105,260,403,103,130,326,493,89,120,183,168,141,200
172532,271,53066,169,136,401,94,223,380,103,114,300,488,75,108,164,137,139,184
172560,271,48249,153,116,350,82,189,336,97,99,250,437,64,95,144,113,131,159
172588,268,49195,145,101,303,74,159,302,97,85,203,374,50,82,129,87,116,124
172616,263,48828,137,91,260,77,132,280,93,76,180,336,46,68,110,71,100,100
172644,256,49293,120,80,212,80,116,246,96,71,135,295,45,58,96,67,79,79
172672,250,49952,106,76,176,87,99,212,102,65,106,234,52,51,76,69,65,64
172700,251,50756,95,73,141,98,88,177,118,69,86,176,67,52,65,72,55,58
172728,256,51142,89,84,107,114,77,140,133,73,63,120,84,49,51,83,47,54
172756,261,50655,82,101,78,140,71,106,148,76,48,84,115,48,40,106,39,56
172784,262,49625,85,137,66,178,75,81,153,84,47,57,139,49,32,134,38,65
172812,263,49428,94,191,67,217,89,69,157,94,46,39,157,55,28,166,36,85
172841,264,49755,109,252,80,244,110,66,152,110,54,38,168,63,24,190,39,105
172869,262,49162,136,338,85,251,130,71,145,127,61,35,173,74,24,218,45,127
172897,255,51539,184,394,106,245,156,71,139,140,79,35,170,79,26,231,54,162
172925,246,55736,245,396,137,218,185,86,129,147,110,39,160,92,28,231,61,199
172953,237,61271,333,361,198,192,228,104,122,151,150,51,154,101,34,234,75,226
172981,231,61942,388,312,288,171,265,133,115,146,172,69,149,107,43,239,95,253
173009,227,63297,381,268,403,151,286,171,110,139,193,96,145,105,60,249,105,249
173037,227,64431,341,230,494,134,280,206,107,129,197,117,144,100,67,266,112,262
173065,230,64515,300,203,546,124,256,248,104,120,191,146,138,98,73,282,115,276
173093,237,62844,275,179,531,109,235,294,103,116,191,181,128,95,81,291,115,305
173121,246,60626,267,159,494,99,204,322,99,108,183,210,115,99,80,278,122,341
173150,258,60194,249,141,442,86,180,327,97,101,167,207,105,98,74,246,127,358
173178,266,57727,225,124,386,80,160,317,93,95,155,195,86,98,73,208,137,342
173206,267,52280,199,111,335,74,146,284,93,88,149,177,75,94,73,171,146,298
173234,264,49125,180,100,293,71,130,252,94,84,111,164,65,86,77,141,148,231
173262,260,50086,159,84,227,68,108,206,90,76,91,138,59,77,70,115,131,191
173290,258,50053,144,82,184,68,93,169,89,70,75,112,52,70,64,97,110,147
173318,253,49700,120,70,143,72,80,140,90,67,65,99,56,57,60,90,93,118
173346,250,50252,111,68,114,80,72,115,98,66,58,83,65,53,52,89,74,100
173374,251,50895,99,71,91,92,66,95,106,67,47,68,75,52,45,92,64,87
173402,254,50863,93,76,73,99,62,76,115,71,42,51,87,51,36,106,51,78
173430,260,49748,90,96,60,121,64,66,121,73,36,39,104,50,32,127,45,78
173458,262,49225,94,120,58,140,67,63,123,76,40,33,123,51,25,161,42,87
173487,263,49442,101,159,68,157,81,63,118,85,40,34,135,57,25,194,42,106
173515,258,49921,123,207,84,167,98,66,115,96,45,34,145,62,27,224,46,133
173543,250,49706,143,248,99,167,116,71,114,108,53,35,149,70,27,247,51,169
173571,240,52775,176,274,120,158,134,79,109,114,65,36,153,78,25,261,58,218
173599,235,57884,213,274,145,147,150,86,111,118,76,39,154,88,29,270,71,267
173627,229,60973,231,260,187,142,165,94,111,119,103,46,164,92,33,275,85,317
173655,224,62430,240,228,235,128,178,114,110,118,116,57,166,97,41,288,103,332
173683,221,62511,237,197,283,116,185,134,105,116,118,67,168,99,49,305,118,331
173711,222,63949,218,175,328,105,174,153,103,109,111,83,160,100,56,335,129,327
173739,228,64378,209,161,351,99,164,173,95,109,111,98,149,104,59,354,131,345
173767,236,65535,205,147,346,94,151,192,97,107,117,119,136,109,65,348,137,372
173795,243,61168,208,137,326,89,142,209,93,104,118,134,118,115,68,331,144,407
173824,251,59893,195,121,285,79,133,197,92,96,114,125,104,121,73,279,159,429
173852,256,60469,177,106,255,72,124,190,90,89,106,122,83,117,72,216,170,405
173880,261,51119,153,84,197,63,103,162,89,81,91,104,70,103,74,166,165,312
173908,260,49767,127,69,158,57,83,133,88,73,72,86,65,84,75,133,153,231
173936,256,49870,114,60,121,55,69,108,86,69,63,76,60,76,67,111,127,179
173964,251,49882,100,54,93,56,58,90,86,63,50,70,59,66,65,98,99,140
